nose_x,nose_y,left_eye_x,left_eye_y,right_eye_x,right_eye_y,left_ear_x,left_ear_y,right_ear_x,right_ear_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y,score,class
40.89036,21.38105,42.33596,19.85655,42.25796,19.85363,48.78698,20.6581,48.58994,20.63351,50.90476,28.27913,50.26003,28.15134,52.69064,40.77646,52.00144,40.83031,47.85954,52.57665,47.7851,52.06723,49.75407,48.86397,49.57899,48.9148,52.32953,68.94614,52.71365,68.74164,53.03631,83.02108,53.91095,82.83472,0.679408,0
57.77699,19.42271,56.02539,17.67062,55.70445,17.85342,49.65295,18.68975,49.74182,19.04955,47.76923,28.04546,49.3329,28.32768,59.72751,39.58515,60.63982,40.45643,62.33283,31.69947,63.28077,31.96014,49.55045,51.68679,50.04936,51.77048,45.77503,73.1282,46.43129,73.40571,41.82648,82.13528,42.08604,82.39789,0.657011,0
43.21276,16.90081,44.17156,15.80677,44.00512,15.76091,51.00354,16.76886,50.13952,16.36258,54.25003,23.88579,53.65456,23.59369,52.99534,40.19168,51.99382,39.13507,46.61069,53.20288,46.57618,52.22191,54.2616,49.70616,53.71552,49.73164,54.60471,69.74477,54.80199,69.41451,59.79907,82.49567,60.55544,82.52831,0.34055,0
56.5155069,16.8634304,55.9081002,15.89855881,55.70350537,15.83798956,51.18557626,16.57198099,49.17279304,16.32507394,48.92516898,23.11249773,45.52488428,23.16510131,49.94351448,39.56041733,49.23170128,40.22454023,55.09388547,52.26982037,55.17464299,53.20737759,51.11797888,50.47442118,50.67586509,51.04908943,46.99228357,70.50534487,47.20015654,71.10060056,43.50752594,82.15450048,45.29761618,82.27291902,0.160415277,0
43.10649,16.54079,44.99508,14.97476,44.20626,14.69562,51.4325,15.36201,50.84221,15.21983,53.83103,24.11679,52.3489,23.80814,55.13146,38.67063,54.06015,38.76162,51.26161,49.88775,51.14791,49.81457,51.70184,48.94185,50.94859,49.0268,49.90551,70.12312,50.78232,69.9291,50.52895,85.84846,51.33059,85.60963,0.68132,0
55.08601665,18.34586797,53.97692323,17.0881479,53.59796882,17.08808659,47.50798345,18.19035088,47.83762693,18.01188948,46.45111561,26.89890166,45.37293315,27.38463978,45.63826323,41.74194932,45.72402239,42.03940034,49.51744974,53.00792456,50.21398067,53.79081964,50.65574646,48.40749701,49.66229498,48.91152183,47.2455889,70.21507025,47.20216691,70.66297531,45.65384984,81.3000679,45.85568011,82.53558477,0.775112629,0
44.36741,13.76842,46.2232,11.71069,45.01975,11.49926,50.51232,13.65031,48.35268,12.91846,52.6734,25.13521,46.93363,23.9087,38.55584,25.94939,37.4826,26.16489,27.93543,26.24777,28.03837,26.05483,65.06522,51.98658,58.25888,52.30598,54.00381,59.00098,44.92656,58.31821,61.55923,85.47639,49.82833,81.00913,0.686043,1
52.59077,21.89946,54.05135,19.91233,51.30273,20.17294,57.15192,20.46683,51.25413,20.88462,56.79942,30.19632,57.2264,28.51969,47.8497,42.19268,49.28094,39.36766,44.60595,31.73564,45.25535,31.25243,70.25003,50.68055,69.72445,49.69872,54.10494,58.94902,54.19028,56.99811,61.68041,80.05455,61.45254,77.79526,0.52993,1
70.95541,17.88984,68.69504,15.26721,68.33548,15.52587,59.46544,16.6238,59.14807,16.70918,55.6357,29.86679,54.84977,31.05491,74.25549,46.34771,76.24784,49.50451,84.97662,38.94334,85.97025,38.08085,25.82169,56.63424,20.15937,57.80789,62.53997,54.97769,62.61242,59.31453,46.58791,78.90989,41.34459,86.66576,0.717554,1
53.66555,31.52037,53.18703,29.9697,52.55737,30.07817,47.95846,30.33705,47.75995,30.6356,43.17876,37.0249,46.82924,38.61849,63.54488,40.96524,66.08062,41.98898,71.87182,36.24184,73.92352,37.04694,26.74051,56.741,26.8635,57.70977,51.84249,59.51012,52.75299,60.67122,38.87153,71.15025,38.28388,75.27369,0.592193,1
40.01198,18.03283,42.11925,15.64445,39.56738,15.74234,45.44041,16.70458,40.54473,16.65592,46.10821,26.06302,42.04578,27.63771,35.51769,40.58666,34.75171,39.54528,28.79279,29.71732,28.40862,29.95339,54.79133,52.74525,49.63053,51.59301,40.42199,62.89334,36.74142,59.79387,49.9992,84.14573,44.78632,78.76634,0.575264,1
